SOC,T_degC,V_Vsrc0_V,R_R0_Ohm,R_R1_Ohm,C_C1_F,R_R2_Ohm,C_C2_F
0.05,35,3.31647171011601,0.0396734085348985,0.0135241229057779,403.550984139146,0.0643063982060556,663.894011475234
0.04,35,3.29772031853685,0.0433195791770516,0.0148835166576846,336.056920866044,0.0949158533541729,471.152127967458
0.03,35,3.2654139847652,0.0394222552309982,0.0185558508692162,295.423613838967,0.103312479088276,592.440613906732
0.02,35,3.21152725832389,NaN,NaN,NaN,NaN,NaN
0.00999999999999999,35,3.13498225073381,NaN,NaN,NaN,NaN,NaN
-8.67361737988404e-18,35,3.04226024576125,NaN,NaN,NaN,NaN,NaN
-0.01,35,2.89989831290481,NaN,NaN,NaN,NaN,NaN
-0.0197373230555555,35,2.50001,NaN,NaN,NaN,NaN,NaN
1,25,4.191440459,0.0163990190739794,0.000161628385914933,26888.3803162876,0.00552400661982284,7575.22848500248
0.99,25,4.15623992520042,0.0163990190739794,0.000161628385914933,26888.3803162876,0.00552400661982284,7575.22848500248
0.98,25,4.13730592690077,0.0163616684675083,0.00016375407282277,25904.6581402213,0.00558517128705638,7353.75252646729
0.97,25,4.12289228060186,0.0161140415943146,0.000177846941777472,19382.7815345836,0.00599068050706518,5885.41226960945
0.96,25,4.11238211588249,0.0158674385926252,0.000216912525517305,12975.0907529802,0.00633797245767227,4646.24115202651
0.95,25,4.1050564712754,0.015624175401351,0.000337437679704071,6939.86761284045,0.00649536299792568,4154.60668817335
0.94,25,4.09998269025488,0.0155013654592747,0.000411505889427736,4187.66938704628,0.00684830212514463,3676.46167972401
0.93,25,4.09614303072533,0.0157688021071278,0.000335062060032555,12071.8739648974,0.0078347830599693,3242.02005002454
0.92,25,4.09259834448281,0.0159666248753309,0.000249920671522535,27075.0952153263,0.00883351113445314,2864.32131394989
0.91,25,4.08859009543445,0.0159485196497816,0.000137801236398003,64160.0478005386,0.00987022732724202,2662.62740969537
0.9,25,4.08359075256742,0.0159292495538022,0.000113530479392119,81180.6467187297,0.0108443044442482,2519.55547144384
0.89,25,4.07732949705015,0.0159066075543712,0.0003435517477742,40121.7703237418,0.0116370627549805,2546.17417380726
0.88,25,4.06976240975552,0.0158139114867732,0.0005954662308745,9028.66316655006,0.0123235383305214,2581.3864673441
0.87,25,4.06101045256645,0.0155214870103973,0.000909799600602126,6348.57018814413,0.0127069953643027,2641.09961194733
0.86,25,4.05129372027129,0.0152851128908518,0.00115242902063407,4341.47294850829,0.0129926418121971,2703.33459690207
0.85,25,4.04087591439882,0.0152021400722329,0.00119881563710664,4176.26267772526,0.0130105955643102,2772.47147530634
0.84,25,4.03002282411987,0.0151227648754833,0.00123034819593876,4063.50279363544,0.012981934102201,2840.8816395592
0.83,25,4.01897409644501,0.0150528485978971,0.00122282625277734,4088.64622063113,0.0128307112483935,2907.38111651285
0.82,25,4.00792634644435,0.014987788556089,0.00120813446341121,4139.82530844687,0.0126658882003732,2968.81007378534
0.81,25,3.99702659673055,0.014935003173131,0.00117532011571127,4256.81233251385,0.0124666891970068,3017.42274656847
0.8,25,3.98637291067021,0.0148901603273518,0.00113655361043094,4404.11842793492,0.0122757643734665,3057.64120236741
0.79,25,3.97601997168452,0.0148641676164835,0.00108366076606345,4623.38120074096,0.0121044767769843,3077.93754523695
0.78,25,3.9659867611456,0.0148344995616144,0.00104018503000338,4807.52611046156,0.0119537283745387,3089.44394585492
0.77,25,3.95626466561099,0.0147962291536042,0.0010187505753068,4909.47565023602,0.0118510531321296,3080.37698318439
0.76,25,3.94682526520178,0.0147560499886172,0.0010115129896468,4944.10371051646,0.0117788692155801,3064.06974906918
0.75,25,3.93762656552035,0.0147115679534913,0.00103627910303796,4826.97039553504,0.0117754212445388,3031.4409254706
0.74,25,3.92861722561878,0.0147056737603699,0.00104891405737877,4766.7454623887,0.0118141509885869,2998.16007918808
0.73,25,3.91973962219839,0.0147816831260944,0.00103580035495262,4827.30984417514,0.0119424038775006,2963.49530015657
0.72,25,3.91093090753787,0.0148484440051235,0.00109440295527437,4640.69895093132,0.012138887897958,2932.16064008109
0.71,25,3.90212324469011,0.0148958345302837,0.00130321068732653,3936.39552023277,0.0124782775857314,2907.80069757053
0.7,25,3.89324624869019,0.0149334494435038,0.00147859524334759,3390.63321149612,0.0128309065442603,2872.75440054495
0.69,25,3.88422668589914,0.0149513150753927,0.0015864562816123,3165.16524743638,0.0132102822767377,2816.11888506287
0.68,25,3.87499007167087,0.0149591991160115,0.0016988400722723,2950.88068271672,0.0135980501554701,2766.45588425408
0.67,25,3.8654636599279,0.0149476234605127,0.00182004123331379,2758.39880925396,0.0140021790142782,2730.38620870205
0.66,25,3.85558148904273,0.0149215768582237,0.00193865532667582,2583.82495165634,0.0143739253482741,2707.78113293147
0.65,25,3.84529076265411,0.014868294616192,0.00205240032305828,2442.95561081764,0.014684724821465,2710.51766018402
0.64,25,3.83456068521627,0.0148053544216628,0.00214342883878985,2333.41994995961,0.0149110456865997,2728.7601988533
0.63,25,3.82339152493799,0.0147248595358756,0.00219316694597976,2280.83767318421,0.0149838147629131,2775.18710094081
0.62,25,3.81182245407617,0.014643183157111,0.00221898695113386,2253.35197347853,0.0149543298722188,2836.95773359312
0.61,25,3.79993455891637,0.0145594320642237,0.00220280651698598,2269.93612765704,0.0147452859375725,2925.67211885958
0.6,25,3.78784803446812,0.014484401473463,0.00216319463823706,2313.35870651961,0.0144584012833182,3021.25273963033
0.59,25,3.77571113808252,0.0144241697351777,0.00208381916710553,2402.32658561868,0.0140394194964303,3128.4854883191
0.58,25,3.76368340678365,0.0143796039284394,0.00191393240717389,2668.43815574343,0.0135853337897527,3183.55549795012
0.57,25,3.75191614731451,0.0143607380629311,0.00159556199047051,3225.15373080756,0.0130736601462941,3153.05259899478
0.56,25,3.74053505742545,0.0143361500783178,0.00136436005480715,3671.77140762787,0.0125956168214657,3153.99611414228
0.55,25,3.72962899842636,0.0143024850996625,0.00127143342738977,3943.74085569322,0.0121709212505444,3204.82305677893
0.54,25,3.7192467043454,0.0142869983795564,0.00118195787502336,4240.04895391826,0.0117846353978256,3252.67781041121
0.53,25,3.70939950699264,0.0142994022031013,0.00109777723905886,4573.69936317048,0.0114572808183768,3295.97239306009
